# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494398375327e-10       7.315016078006e-15       4.820653136602e-13       0.000000000000e+00       8.899389792898e-09       4.879130463155e-10      -2.513521431524e-12 
    3       1.408249753692e-10       1.238630792311e-14       6.064281993555e-13       0.000000000000e+00       5.433446239752e-09       3.466906190915e-10      -2.211231949892e-12 
    4       1.323520959755e-10       1.446279513188e-14       6.273192020188e-13       0.000000000000e+00       3.759385861789e-09       2.634429285808e-10      -1.764012621707e-12 
    5       1.256415047138e-10       1.337607624342e-14       5.875004275430e-13       0.000000000000e+00       2.796793198591e-09       2.088134218905e-10      -1.309402795537e-12 
    6       1.206972924041e-10       1.032145594361e-14       5.169918065378e-13       0.000000000000e+00       2.178870000288e-09       1.703675347551e-10      -8.948042836483e-13 
    7       1.172226236898e-10       6.840660787540e-15       4.361971148555e-13       0.000000000000e+00       1.753748531043e-09       1.420095862637e-10      -5.443789342620e-13 
    8       1.148973395499e-10       4.041842016270e-15       3.573946985691e-13       0.000000000000e+00       1.446454111665e-09       1.203520417639e-10      -2.689073490246e-13 
    9       1.134769816036e-10       2.335977695240e-15       2.878532650284e-13       0.000000000000e+00       1.215778602442e-09       1.033589464726e-10      -7.004096756775e-14 
   10       1.127468199364e-10       1.571350068518e-15       2.316281766950e-13       0.000000000000e+00       1.037473932852e-09       8.976793547765e-11       5.752365531733e-14 
   11       1.125672385925e-10       1.345705158439e-15       1.904229816529e-13       0.000000000000e+00       8.886918302485e-10       7.950450856626e-11       1.233840823272e-13 
   12       1.128294976117e-10       1.288231241309e-15       1.639402969271e-13       0.000000000000e+00       7.765295416287e-10       7.028204095150e-11       1.421785058745e-13 
   13       1.134135838590e-10       1.200665266201e-15       1.504279110137e-13       0.000000000000e+00       6.844576704334e-10       6.274523773439e-11       1.277247689499e-13 
   14       1.142211003812e-10       1.054802879362e-15       1.473131611956e-13       0.000000000000e+00       6.078517534577e-10       5.620885191807e-11       9.278650488699e-14 
   15       1.152581005670e-10       9.105621833322e-16       1.515846383427e-13       0.000000000000e+00       5.433702632118e-10       5.074694365092e-11       4.960475963059e-14 
   16       1.164857611207e-10       8.294043126488e-16       1.602138784190e-13       0.000000000000e+00       4.885461571303e-10       4.611726794159e-11       7.263366654118e-15 
   17       1.178213980278e-10       8.287637007354e-16       1.706832088079e-13       0.000000000000e+00       4.415160421985e-10       4.212051305116e-11      -2.790444241683e-14 
   18       1.192600026872e-10       8.835307364294e-16       1.812288581789e-13       0.000000000000e+00       4.008506874704e-10       3.859172267291e-11      -5.238554969787e-14 
   19       1.208352855162e-10       9.539830409661e-16       1.906850638210e-13       0.000000000000e+00       3.654378771888e-10       3.544065731095e-11      -6.516278721038e-14 
   20       1.224798421034e-10       1.013987666801e-15       1.984657141802e-13       0.000000000000e+00       3.344024167539e-10       3.267447909881e-11      -6.707331499547e-14 
   21       1.241726922768e-10       1.062752896974e-15       2.046473459292e-13       0.000000000000e+00       3.070460643215e-10       3.022793585240e-11      -6.045168445038e-14 
   22       1.259787719975e-10       1.118695596154e-15       2.095782408574e-13       0.000000000000e+00       2.828062988484e-10       2.802761904896e-11      -4.836116046842e-14 
   23       1.278016221460e-10       1.204620457154e-15       2.137740589081e-13       0.000000000000e+00       2.612250113697e-10       2.601651406311e-11      -3.403736813923e-14 
   24       1.296973696132e-10       1.335004919113e-15       2.177887374961e-13       0.000000000000e+00       2.419266310593e-10       2.417474455613e-11      -2.038766581556e-14 
   25       1.316091792578e-10       1.511824945656e-15       2.221307967391e-13       0.000000000000e+00       2.246002047584e-10       2.254187198015e-11      -9.406082786014e-15 
   26       1.335793620383e-10       1.728461635725e-15       2.271745060547e-13       0.000000000000e+00       2.089862725888e-10       2.109219447659e-11      -2.291811263075e-15 
   27       1.356332068439e-10       1.976634136354e-15       2.328668071988e-13       0.000000000000e+00       1.948669497083e-10       1.977429963506e-11       6.364043934554e-16 
   28       1.376260589679e-10       2.251561009344e-15       2.391440801094e-13       0.000000000000e+00       1.820579167221e-10       1.855756542525e-11      -1.927991076506e-16 
   29       1.397307486374e-10       2.553060907558e-15       2.456701510779e-13       0.000000000000e+00       1.704025951855e-10       1.745353158675e-11      -3.810607595376e-15 
   30       1.418209750410e-10       2.882402629663e-15       2.520395156127e-13       0.000000000000e+00       1.597671446666e-10       1.644876302147e-11      -9.171849088952e-15 
   31       1.439326163184e-10       3.239103913022e-15       2.579365036920e-13       0.000000000000e+00       1.500382711400e-10       1.552033987621e-11      -1.513279535245e-14 
   32       1.461636652342e-10       3.620811880528e-15       2.625619651544e-13       0.000000000000e+00       1.411166826947e-10       1.468631404584e-11      -2.022594480101e-14 
   33       1.483006025919e-10       4.024433599238e-15       2.656156163106e-13       0.000000000000e+00       1.329161497319e-10       1.391789199360e-11      -2.358212457503e-14 
   34       1.505388115781e-10       4.448120977997e-15       2.669514000372e-13       0.000000000000e+00       1.253613500596e-10       1.320123910150e-11      -2.482527053303e-14 
   35       1.528098008400e-10       4.892966354026e-15       2.662456667556e-13       0.000000000000e+00       1.183882554161e-10       1.248565503489e-11      -2.450882336111e-14 
   36       1.550201318732e-10       5.362913637555e-15       2.638066824488e-13       0.000000000000e+00       1.119397735072e-10       1.185462887783e-11      -2.233477500471e-14 
   37       1.573712211231e-10       5.863398656478e-15       2.596295609787e-13       0.000000000000e+00       1.059648719171e-10       1.129629745456e-11      -1.878722606731e-14 
   38       1.596831268419e-10       6.399173777419e-15       2.537381683715e-13       0.000000000000e+00       1.004188185115e-10       1.074780621002e-11      -1.495426856273e-14 
   39       1.620058432037e-10       6.973030176228e-15       2.465549529542e-13       0.000000000000e+00       9.526356196840e-11       1.021742018226e-11      -1.144662217087e-14 
   40       1.644278576355e-10       7.585744315796e-15       2.380012900442e-13       0.000000000000e+00       9.046340755528e-11       9.749589269992e-12      -8.354724418329e-15 
   41       1.667720726090e-10       8.236657672229e-15       2.283029693759e-13       0.000000000000e+00       8.598668057653e-11       9.316897525444e-12      -6.283311070908e-15 
   42       1.691960730569e-10       8.924598079112e-15       2.177507705905e-13       0.000000000000e+00       8.180664797560e-11       8.887547308780e-12      -5.725813036563e-15 
   43       1.716949205134e-10       9.648586967746e-15       2.059657319937e-13       0.000000000000e+00       7.789804159450e-11       8.505153197246e-12      -5.910870586055e-15 
   44       1.740990573204e-10       1.040908321653e-14       1.929032473338e-13       0.000000000000e+00       7.423784076927e-11       8.141700742585e-12      -6.883551097628e-15 
   45       1.765810438586e-10       1.120742910125e-14       1.785691269624e-13       0.000000000000e+00       7.080699276014e-11       7.784286041877e-12      -8.645132074878e-15 
   46       1.790906303094e-10       1.204331568496e-14       1.625917879616e-13       0.000000000000e+00       6.758597359874e-11       7.468587471650e-12      -1.026956609097e-14 
   47       1.816233179547e-10       1.291655205018e-14       1.448314292543e-13       0.000000000000e+00       6.456067635889e-11       7.185147798358e-12      -1.145094919144e-14 
   48       1.842019899008e-10       1.382702934689e-14       1.252352517086e-13       0.000000000000e+00       6.171401780638e-11       6.910211636732e-12      -1.212738949135e-14 
   49       1.867936122208e-10       1.477453549416e-14       1.037234859622e-13       0.000000000000e+00       5.903414413303e-11       6.638746976613e-12      -1.226871752462e-14 
   50       1.893636999113e-10       1.575900904724e-14       8.021824832173e-14       0.000000000000e+00       5.650739913136e-11       6.372386706192e-12      -1.186393193074e-14 
   51       1.919598391346e-10       1.678143920519e-14       5.469295469059e-14       0.000000000000e+00       5.412393917475e-11       6.120393172434e-12      -1.093679159028e-14 
   52       1.946330951081e-10       1.784296877124e-14       2.717600722566e-14       0.000000000000e+00       5.187242650633e-11       5.891275320578e-12      -9.566626911869e-15 
   53       1.973329531415e-10       1.894389545399e-14      -2.142538869368e-15       0.000000000000e+00       4.974464580019e-11       5.678498726669e-12      -8.004830961655e-15 
   54       2.000007774010e-10       2.008415146438e-14      -3.306195619956e-14       0.000000000000e+00       4.773120800477e-11       5.472691938130e-12      -6.548907057812e-15 
   55       2.026914583392e-10       2.126323590926e-14      -6.561250975631e-14       0.000000000000e+00       4.582517591820e-11       5.274421519599e-12      -5.390151931638e-15 
   56       2.054685481722e-10       2.248041291209e-14      -9.984525277570e-14       0.000000000000e+00       4.401865996769e-11       5.086907544003e-12      -4.673073628312e-15 
   57       2.082765165673e-10       2.373476569251e-14      -1.356056270121e-13       0.000000000000e+00       4.230577926583e-11       4.912802414355e-12      -4.421892637088e-15 
   58       2.110486095487e-10       2.502551303035e-14      -1.727342926113e-13       0.000000000000e+00       4.067988604106e-11       4.752848404886e-12      -4.621153377552e-15 
   59       2.138375269854e-10       2.635302060086e-14      -2.113534729508e-13       0.000000000000e+00       3.913594685782e-11       4.600173755207e-12      -5.239264902398e-15 
   60       2.167081746800e-10       2.771798070559e-14      -2.516425462046e-13       0.000000000000e+00       3.766830537795e-11       4.447418703534e-12      -6.198581916845e-15 
