# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.339669472190e-10       7.315030472979e-15       4.821135819372e-13       0.000000000000e+00       9.262250830871e-09       3.678383602317e-10      -2.520444142213e-12 
    3       1.308614417364e-10       1.238628637128e-14       6.062190862406e-13       0.000000000000e+00       5.616764328058e-09       2.734452459972e-10      -2.214135262276e-12 
    4       1.254612888324e-10       1.446270999540e-14       6.269936583955e-13       0.000000000000e+00       3.868490498006e-09       2.142682765301e-10      -1.765368373043e-12 
    5       1.205900643052e-10       1.337602914024e-14       5.872275047007e-13       0.000000000000e+00       2.868507987627e-09       1.735489635197e-10      -1.310188829004e-12 
    6       1.168323783749e-10       1.032143285756e-14       5.167937641309e-13       0.000000000000e+00       2.229071176510e-09       1.439006435967e-10      -8.952916415623e-13 
    7       1.141692224571e-10       6.840645748092e-15       4.360598490141e-13       0.000000000000e+00       1.790492671208e-09       1.214700977729e-10      -5.446931403036e-13 
    8       1.124263934695e-10       4.041831768016e-15       3.573007781900e-13       0.000000000000e+00       1.474264201003e-09       1.040013014519e-10      -2.691158873508e-13 
    9       1.114403082424e-10       2.335970831936e-15       2.877892154052e-13       0.000000000000e+00       1.237383685974e-09       9.008126073564e-11      -7.018169761803e-14 
   10       1.110428320926e-10       1.571345351233e-15       2.315851264183e-13       0.000000000000e+00       1.054600105070e-09       7.881109086615e-11       5.742790520217e-14 
   11       1.111237507689e-10       1.345702416846e-15       1.903941402136e-13       0.000000000000e+00       9.019182766979e-10       7.037709598627e-11       1.233179915929e-13 
   12       1.115933846088e-10       1.288230642466e-15       1.639210613716e-13       0.000000000000e+00       7.873675009667e-10       6.255975857444e-11       1.421338782789e-13 
   13       1.123460560429e-10       1.200666040158e-15       1.504154216870e-13       0.000000000000e+00       6.934475558134e-10       5.615037139019e-11       1.276950508478e-13 
   14       1.132923653607e-10       1.054804599465e-15       1.473050331021e-13       0.000000000000e+00       6.153852755124e-10       5.053172081232e-11       9.276693348346e-14 
   15       1.144451569893e-10       9.105660329329e-16       1.515792459975e-13       0.000000000000e+00       5.497441141601e-10       4.582412960673e-11       4.959183607958e-14 
   16       1.157690645922e-10       8.294118482890e-16       1.602106115255e-13       0.000000000000e+00       4.939833176684e-10       4.181992697465e-11       7.254656494552e-15 
   17       1.171870527679e-10       8.287758770131e-16       1.706810893163e-13       0.000000000000e+00       4.461876262907e-10       3.834767626457e-11      -2.791057393787e-14 
   18       1.186951769749e-10       8.835471670286e-16       1.812274007278e-13       0.000000000000e+00       4.048926586175e-10       3.526330791263e-11      -5.239012470901e-14 
   19       1.203308044083e-10       9.540017409276e-16       1.906847897584e-13       0.000000000000e+00       3.689547271163e-10       3.249028134465e-11      -6.516627212970e-14 
   20       1.220275500430e-10       1.014006798808e-15       1.984656545425e-13       0.000000000000e+00       3.374808363207e-10       3.004634427677e-11      -6.707589410062e-14 
   21       1.237651012905e-10       1.062770439301e-15       2.046475327012e-13       0.000000000000e+00       3.097530828781e-10       2.787631956927e-11      -6.045332665751e-14 
   22       1.256110265126e-10       1.118708878263e-15       2.095782679002e-13       0.000000000000e+00       2.851991013865e-10       2.591601743195e-11      -4.836190867659e-14 
   23       1.274679822944e-10       1.204630967885e-15       2.137739838473e-13       0.000000000000e+00       2.633481255442e-10       2.411458912559e-11      -3.403730525056e-14 
   24       1.293947500934e-10       1.335017297474e-15       2.177890216158e-13       0.000000000000e+00       2.438187426856e-10       2.245588898146e-11      -2.038689386978e-14 
   25       1.313328890895e-10       1.511838098131e-15       2.221308928133e-13       0.000000000000e+00       2.262925833168e-10       2.098309937768e-11      -9.404935086522e-15 
   26       1.333270105720e-10       1.728470602137e-15       2.271745760658e-13       0.000000000000e+00       2.105050109696e-10       1.967482163430e-11      -2.290622303180e-15 
