#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:V_x_smg               19:V_x_prime_smg         20:h_prime               21:eta                
       1.001051177721e-02       2.159853607860e-08      -1.202252028372e+00       3.008734212307e-07       1.119444305320e-16       2.798610763299e-16       5.857117594451e-28       5.597221526599e-17      -9.016890212792e-01       3.008734212307e-07       6.011210253370e-01       6.994369934089e-01      -1.202252028372e+00       3.008734210967e-07       4.015884079980e-10      -9.016890212792e-01       3.008734215094e-07       6.622777411552e-65       1.984938458575e-62       1.001028367920e-06       9.999999996669e-01 
       1.002083995268e-02       2.162082041127e-08      -1.202249072756e+00       3.011830961334e-07       1.122910044408e-16       2.807275111019e-16       5.887380772047e-28       5.614550222038e-17      -9.016868045669e-01       3.011830961334e-07       6.011217027016e-01       6.994377323141e-01      -1.202249072756e+00       3.011830959990e-07       4.024177665411e-10      -9.016868045669e-01       3.011830964129e-07       6.643315965579e-65       1.989393839940e-62       1.002060463214e-06       9.999999996662e-01 
       1.003116812815e-02       2.164310474479e-08      -1.202246173348e+00       3.014927836792e-07       1.126382976601e-16       2.815957441502e-16       5.917769163223e-28       5.631914883005e-17      -9.016846300108e-01       3.014927836792e-07       6.011223677688e-01       6.994384571671e-01      -1.202246173348e+00       3.014927835443e-07       4.032479747536e-10      -9.016846300108e-01       3.014927839595e-07       6.663902185599e-65       1.994063548973e-62       1.003092571605e-06       9.999999996655e-01 
       1.007578557235e-02       2.173937248451e-08      -1.202241236891e+00       3.028325194438e-07       1.141475383995e-16       2.853688459987e-16       6.050529430283e-28       5.707376919975e-17      -9.016809276681e-01       3.028325194438e-07       6.011235157967e-01       6.994396912859e-01      -1.202241236891e+00       3.028325193072e-07       4.068435722677e-10      -9.016809276681e-01       3.028325197280e-07       6.753408185585e-65       2.016438599725e-62       1.007552985445e-06       9.999999996626e-01 
       1.012040301656e-02       2.183564024000e-08      -1.202240186814e+00       3.041732274876e-07       1.156705707284e-16       2.891764268210e-16       6.185681561593e-28       5.783528536419e-17      -9.016801401103e-01       3.041732274876e-07       6.011237816582e-01       6.994399538096e-01      -1.202240186814e+00       3.041732273491e-07       4.104547615586e-10      -9.016801401103e-01       3.041732277755e-07       6.843985328991e-65       2.042667208841e-62       1.012014293130e-06       9.999999996596e-01 
       1.016502046076e-02       2.193190801126e-08      -1.202240248344e+00       3.055142150962e-07       1.172071981165e-16       2.930179952912e-16       6.323243919900e-28       5.860359905823e-17      -9.016801862581e-01       3.055142150962e-07       6.011237946461e-01       6.994399384316e-01      -1.202240248344e+00       3.055142149559e-07       4.140817984576e-10      -9.016801862581e-01       3.055142153879e-07       6.935812597921e-65       2.072780359629e-62       1.016475851710e-06       9.999999996565e-01 
       1.020963790496e-02       2.202817579829e-08      -1.202240509283e+00       3.068552537773e-07       1.187573944280e-16       2.968934860700e-16       6.463243940403e-28       5.937869721400e-17      -9.016803819625e-01       3.068552537773e-07       6.011237622350e-01       6.994398732013e-01      -1.202240509283e+00       3.068552536351e-07       4.177247734378e-10      -9.016803819625e-01       3.068552540729e-07       7.029070091405e-65       2.106858067361e-62       1.020937457743e-06       9.999999996535e-01 
       1.032316205296e-02       2.227311859748e-08      -1.202240164707e+00       3.102671194843e-07       1.227630979989e-16       3.069077449972e-16       6.830660782606e-28       6.138154899944e-17      -9.016801235303e-01       3.102671194843e-07       6.011239283135e-01       6.994399593571e-01      -1.202240164707e+00       3.102671193374e-07       4.270658740877e-10      -9.016801235303e-01       3.102671197899e-07       7.274446031973e-65       2.211874468551e-62       1.032289479871e-06       9.999999996458e-01 
       1.043668620096e-02       2.251806149877e-08      -1.202239738358e+00       3.136789602555e-07       1.268578700930e-16       3.171446752325e-16       7.214599658949e-28       6.342893504651e-17      -9.016798037683e-01       3.136789602555e-07       6.011241145015e-01       6.994400659562e-01      -1.202239738358e+00       3.136789601036e-07       4.365102607676e-10      -9.016798037683e-01       3.136789605713e-07       7.533316774260e-65       2.343555775060e-62       1.043641485068e-06       9.999999996379e-01 
       1.055021034896e-02       2.276300450216e-08      -1.202239403143e+00       3.170908215865e-07       1.310427085102e-16       3.276067712755e-16       7.615612695305e-28       6.552135425510e-17      -9.016795523571e-01       3.170908215865e-07       6.011242784040e-01       6.994401497719e-01      -1.202239403143e+00       3.170908214296e-07       4.460579353383e-10      -9.016795523571e-01       3.170908219127e-07       7.808712878925e-65       2.503113956840e-62       1.054993484069e-06       9.999999996300e-01 
       1.066373449696e-02       2.300794760767e-08      -1.202239104202e+00       3.205026888244e-07       1.353185872695e-16       3.382964681738e-16       8.034262817184e-28       6.765929363476e-17      -9.016793281517e-01       3.205026888244e-07       6.011244320991e-01       6.994402245191e-01      -1.202239104202e+00       3.205026886624e-07       4.557088972657e-10      -9.016793281517e-01       3.205026891612e-07       8.103851967643e-65       2.691470109303e-62       1.066345458837e-06       9.999999996220e-01 
       1.101405384192e-02       2.376380777362e-08      -1.202239865567e+00       3.310316698733e-07       1.490979305954e-16       3.727448264885e-16       9.443576369625e-28       7.454896529770e-17      -9.016798991756e-01       3.310316698733e-07       6.011244791737e-01       6.994400342158e-01      -1.202239865567e+00       3.310316696948e-07       4.861415674992e-10      -9.016798991756e-01       3.310316702445e-07       9.176785550096e-65       3.474099206966e-62       1.101375991111e-06       9.999999995968e-01 
       1.136437318688e-02       2.451966891189e-08      -1.202241693004e+00       3.415609531954e-07       1.637824716882e-16       4.094561792205e-16       1.104407745578e-27       8.189123584410e-17      -9.016812697531e-01       3.415609531954e-07       6.011242464841e-01       6.994395773959e-01      -1.202241693004e+00       3.415609529993e-07       5.175578511627e-10      -9.016812697531e-01       3.415609536031e-07       1.058334011121e-64       4.603404657732e-62       1.136406429936e-06       9.999999995707e-01 
       1.171469253184e-02       2.527553102246e-08      -1.202243711478e+00       3.520903113064e-07       1.794009108532e-16       4.485022771331e-16       1.285458441550e-27       8.970045542662e-17      -9.016827836088e-01       3.520903113064e-07       6.011239522029e-01       6.994390728179e-01      -1.202243711478e+00       3.520903110917e-07       5.499577693556e-10      -9.016827836088e-01       3.520903117530e-07       1.245795328013e-64       6.156933162702e-62       1.171436801440e-06       9.999999995438e-01 
       1.206501187680e-02       2.603139410533e-08      -1.202245514365e+00       3.626196259140e-07       1.959819810635e-16       4.899549526588e-16       1.489511352559e-27       9.799099053175e-17      -9.016841357738e-01       3.626196259140e-07       6.011236973538e-01       6.994386221379e-01      -1.202245514365e+00       3.626196256794e-07       5.833413298194e-10      -9.016841357738e-01       3.626196264018e-07       1.496635082193e-64       8.236063893395e-62       1.206467088110e-06       9.999999995162e-01 
       1.241533122176e-02       2.678725816052e-08      -1.202247113044e+00       3.731488951511e-07       2.135544674109e-16       5.338861685272e-16       1.718691808478e-27       1.067772337054e-16      -9.016853347827e-01       3.731488951511e-07       6.011234824891e-01       6.994382225112e-01      -1.202247113044e+00       3.731488948954e-07       6.177085266054e-10      -9.016853347827e-01       3.731488956826e-07       1.831441782368e-64       1.096881894119e-61       1.241497298807e-06       9.999999994877e-01 
       1.373661317185e-02       2.963812155776e-08      -1.202250189512e+00       4.128607295026e-07       2.892509986401e-16       7.231274966002e-16       2.849764923008e-27       1.446254993200e-16      -9.016876421341e-01       4.128607295026e-07       6.011233403098e-01       6.994374535672e-01      -1.202250189512e+00       4.128607291563e-07       7.561807693198e-10      -9.016876421341e-01       4.128607302226e-07       4.411597536434e-64       3.050145191429e-61       1.373618357083e-06       9.999999993728e-01 
       1.505789512194e-02       3.248899878640e-08      -1.202253032658e+00       4.525724864679e-07       3.810050328631e-16       9.525125821578e-16       4.510619446988e-27       1.905025164316e-16      -9.016897744934e-01       4.525724864679e-07       6.011232189479e-01       6.994367429713e-01      -1.202253032658e+00       4.525724860118e-07       9.086451422224e-10      -9.016897744934e-01       4.525724874162e-07       1.121888908019e-63       7.693859049688e-61       1.505738488870e-06       9.999999992463e-01 
       1.637917707203e-02       3.533988984644e-08      -1.202256979472e+00       4.922846902559e-07       4.903617523290e-16       1.225904380823e-15       6.868782916772e-27       2.451808761645e-16      -9.016927346038e-01       4.922846902559e-07       6.011228071280e-01       6.994357564760e-01      -1.202256979472e+00       4.922846896689e-07       1.075101516888e-09      -9.016927346038e-01       4.922846914765e-07       2.752083044695e-63       1.786330555546e-60       1.637857767649e-06       9.999999991083e-01 
       1.770045902212e-02       3.819079473789e-08      -1.202260986387e+00       5.319969884649e-07       6.188656935997e-16       1.547164233999e-15       1.012387140898e-26       3.094328467999e-16      -9.016957397901e-01       5.319969884649e-07       6.011223706963e-01       6.994347549727e-01      -1.202260986387e+00       5.319969877240e-07       1.255549860136e-09      -9.016957397901e-01       5.319969900053e-07       6.368307546780e-63       3.861887395856e-60       1.769976220726e-06       9.999999989586e-01 
       1.902174097222e-02       4.104171346074e-08      -1.202264376552e+00       5.717090649409e-07       7.680612522453e-16       1.920153130613e-15       1.451040865605e-26       3.840306261226e-16      -9.016982824140e-01       5.717090649409e-07       6.011220455878e-01       6.994339076745e-01      -1.202264376552e+00       5.717090640215e-07       1.449990671373e-09      -9.016982824140e-01       5.717090668527e-07       1.392051471007e-62       7.896438427168e-60       1.902093849530e-06       9.999999987974e-01 
       2.034302292231e-02       4.389264601498e-08      -1.202267270325e+00       6.114209208014e-07       9.394931039684e-16       2.348732759921e-15       2.030064989606e-26       4.697465519842e-16      -9.017004527441e-01       6.114209208014e-07       6.011218124526e-01       6.994331844917e-01      -1.202267270325e+00       6.114209196767e-07       1.658424020947e-09      -9.017004527441e-01       6.114209231398e-07       2.894502400672e-62       1.543516890194e-59       2.034210691712e-06       9.999999986245e-01 
       2.362344323106e-02       5.097087489748e-08      -1.202273644432e+00       7.100152702592e-07       1.471233348314e-15       3.678083370785e-15       4.287050076505e-26       7.356166741570e-16      -9.017052333243e-01       7.100152702592e-07       6.011214412009e-01       6.994315916874e-01      -1.202273644432e+00       7.100152684980e-07       2.236406650292e-09      -9.017052333243e-01       7.100152739211e-07       1.644476033628e-61       7.006445791529e-59       2.362221088984e-06       9.999999981451e-01 
       2.690386353982e-02       5.804918903778e-08      -1.202279350146e+00       8.086090273558e-07       2.173204083679e-15       5.433010209197e-15       8.213450534716e-26       1.086602041839e-15      -9.017095126098e-01       8.086090273558e-07       6.011212511097e-01       6.994301660892e-01      -1.202279350146e+00       8.086090247543e-07       2.900637110118e-09      -9.017095126098e-01       8.086090327647e-07       6.816293925669e-61       2.513314399047e-58       2.690226701834e-06       9.999999975942e-01 
       3.018428384858e-02       6.512758843589e-08      -1.202284725882e+00       9.072022811534e-07       3.069047848470e-15       7.672619621176e-15       1.460045781003e-25       1.534523924235e-15      -9.017135444114e-01       9.072022811534e-07       6.011211593674e-01       6.994288230934e-01      -1.202284725882e+00       9.072022774795e-07       3.651114842630e-09      -9.017135444114e-01       9.072022887919e-07       2.341687651306e-60       7.801518178124e-58       3.018227522571e-06       9.999999969718e-01 
       3.346470415733e-02       7.220607309181e-08      -1.202289936488e+00       1.005795089060e-06       4.182408162720e-15       1.045602040680e-14       2.445719726621e-25       2.091204081360e-15      -9.017174523660e-01       1.005795089060e-06       6.011211188383e-01       6.994275214878e-01      -1.202289936488e+00       1.005795084053e-06       4.487839567408e-09      -9.017174523660e-01       1.005795099469e-06       7.095030582529e-60       2.173365841944e-57       3.346223588563e-06       9.999999962779e-01 
       3.674512446609e-02       7.928464300554e-08      -1.202295058012e+00       1.104387480795e-06       5.536929483799e-15       1.384232370950e-14       3.903731708600e-25       2.768464741900e-15      -9.017212935091e-01       1.104387480795e-06       6.011211071949e-01       6.994262422605e-01      -1.202295058012e+00       1.104387474167e-06       5.410811003379e-09      -9.017212935091e-01       1.104387494575e-06       1.950014355325e-59       5.531001146554e-57       3.674214922055e-06       9.999999955124e-01 
       4.267673396608e-02       9.208422923748e-08      -1.202304140365e+00       1.282659765469e-06       8.674634920915e-15       2.168658730229e-14       8.250011245787e-25       4.337317460458e-15      -9.017281052739e-01       1.282659765469e-06       6.011211422402e-01       6.994239740320e-01      -1.202304140365e+00       1.282659755085e-06       7.298682113104e-09      -9.017281052739e-01       1.282659787058e-06       1.022107540687e-58       2.453671622124e-56       4.267272107091e-06       9.999999939468e-01 
       4.860834346607e-02       1.048840942229e-07      -1.202313136742e+00       1.460930748335e-06       1.281793206144e-14       3.204483015359e-14       1.581503105532e-24       6.408966030719e-15      -9.017348525564e-01       1.460930748335e-06       6.011212083462e-01       6.994217276502e-01      -1.202313136742e+00       1.460930732991e-06       9.468536971038e-09      -9.017348525564e-01       1.460930780234e-06       4.018900664422e-58       8.224416031694e-56       4.860313800638e-06       9.999999921473e-01 
       5.453995296606e-02       1.176842379618e-07      -1.202322066266e+00       1.639200413186e-06       1.810662792966e-14       4.526656982414e-14       2.812593677310e-24       9.053313964828e-15      -9.017415496995e-01       1.639200413186e-06       6.011213003940e-01       6.994194983340e-01      -1.202322066266e+00       1.639200391511e-06       1.192037319947e-08      -9.017415496995e-01       1.639200458245e-06       1.312478018119e-57       2.394993016484e-55       5.453339940902e-06       9.999999901141e-01 
       6.047156246606e-02       1.304846604541e-07      -1.202331002797e+00       1.817468844181e-06       2.468054069223e-14       6.170135173057e-14       4.713097336900e-24       1.234027034611e-14      -9.017482520981e-01       1.817468844181e-06       6.011214009887e-01       6.994172676184e-01      -1.202331002797e+00       1.817468814637e-06       1.465418837993e-08      -9.017482520981e-01       1.817468905598e-06       3.842921977757e-57       6.511883255274e-55       6.046350632173e-06       9.999999878470e-01 
       6.640317196605e-02       1.432853617000e-07      -1.202339926045e+00       1.995736007132e-06       3.267949743714e-14       8.169874359286e-14       7.525092408312e-24       1.633974871857e-14      -9.017549445339e-01       1.995736007132e-06       6.011215105786e-01       6.994150405762e-01      -1.202339926045e+00       1.995735968013e-06       1.766998054390e-08      -9.017549445339e-01       1.995736088451e-06       1.047138066084e-56       1.676555888171e-54       6.639345812970e-06       9.999999853462e-01 
       7.233478146604e-02       1.560863416993e-07      -1.202348856456e+00       2.174001933670e-06       4.224333616376e-14       1.056083404094e-13       1.154305680011e-23       2.112166808188e-14      -9.017616423422e-01       2.174001933670e-06       6.011216213969e-01       6.994128120956e-01      -1.202348856456e+00       2.174001883102e-06       2.096774798388e-08      -9.017616423423e-01       2.174002038783e-06       2.686502773251e-56       4.064873833139e-54       7.232325523491e-06       9.999999826116e-01 
       8.471975314714e-02       1.828151924690e-07      -1.202367465749e+00       2.546210195828e-06       6.787142869793e-14       1.696785717448e-13       2.544159758105e-23       3.393571434896e-14      -9.017755993118e-01       2.546210195828e-06       6.011218665939e-01       6.994081695157e-01      -1.202367465749e+00       2.546210114582e-06       2.876237451889e-08      -9.017755993118e-01       2.546210364700e-06       1.631536781632e-55       2.003889795557e-53       8.470394203162e-06       9.999999761484e-01 
