# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.76212 h/Mpc,
# number of wavenumbers equal to 572
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004353659e-05       5.013564197401e+01 
       2.333031641191e-05       1.085574913641e+02 
       3.625588227478e-05       1.658910828713e+02 
       4.926151479886e-05       2.227826153137e+02 
       6.238256277147e-05       2.795951661857e+02 
       7.565526525573e-05       3.366004128311e+02 
       8.911707682935e-05       3.940285545745e+02 
       1.028070072254e-04       4.520908114588e+02 
       1.167659797337e-04       5.109920691743e+02 
       1.310372127538e-04       5.709345122019e+02 
       1.456666288999e-04       6.321227451389e+02 
       1.480253419385e-04       6.419670585858e+02 
       1.607032959933e-04       6.947731426910e+02 
       1.761999041049e-04       7.591076244590e+02 
       1.922132824364e-04       8.253615708034e+02 
       2.088049591725e-04       8.937880126341e+02 
       2.260417663572e-04       9.646584289494e+02 
       2.439964901826e-04       1.038262422815e+03 
       2.627485646038e-04       1.114918635595e+03 
       2.823848026390e-04       1.194967608929e+03 
       3.030001547524e-04       1.278783913347e+03 
       3.246984769618e-04       1.366774151055e+03 
       3.475932823712e-04       1.459374320845e+03 
       3.718084383105e-04       1.557069568606e+03 
       3.974787569286e-04       1.660375394233e+03 
       4.247504099412e-04       1.769855592618e+03 
       4.537810788286e-04       1.886111618479e+03 
       4.847397314503e-04       2.009782887243e+03 
       5.178058973611e-04       2.141550169926e+03 
       5.531683011775e-04       2.282119639121e+03 
       5.910227120278e-04       2.432224636310e+03 
       6.315688848103e-04       2.592599699513e+03 
       6.750065136253e-04       2.763970555459e+03 
       7.215301957685e-04       2.947032559454e+03 
       7.713235178393e-04       3.142427008169e+03 
       8.245525171330e-04       3.350694035936e+03 
       8.813589233714e-04       3.572266208254e+03 
       9.418537181085e-04       3.807421464426e+03 
       1.006111625023e-03       4.056254469448e+03 
       1.074167130173e-03       4.318657469300e+03 
       1.146012510003e-03       4.594303762551e+03 
       1.221598126442e-03       4.882641494370e+03 
       1.300834972012e-03       5.182904766355e+03 
       1.383599172000e-03       5.494118696690e+03 
       1.469737934559e-03       5.815157186601e+03 
       1.559076323707e-03       6.144752170527e+03 
       1.651424225339e-03       6.481568173535e+03 
       1.746582964488e-03       6.824237546802e+03 
       1.844351177362e-03       7.171410735409e+03 
       1.944529704535e-03       7.521814172313e+03 
       2.046925420223e-03       7.874281270716e+03 
       2.151354028043e-03       8.227781978466e+03 
       2.257641929764e-03       8.581443172748e+03 
       2.365627313660e-03       8.934552149399e+03 
       2.475160620804e-03       9.286552820133e+03 
       2.586104540500e-03       9.637020643210e+03 
       2.698333667920e-03       9.985648766430e+03 
       2.811733934391e-03       1.033220581122e+04 
       2.926201897709e-03       1.067651400083e+04 
       3.041643958743e-03       1.101841537375e+04 
       3.157975552624e-03       1.135775630403e+04 
       3.275120348274e-03       1.169435775371e+04 
       3.393009478659e-03       1.202802173370e+04 
       3.511580815647e-03       1.235852028781e+04 
       3.630778297097e-03       1.268560646640e+04 
       3.750551309427e-03       1.300902677485e+04 
       3.870854125873e-03       1.332853383279e+04 
       3.991645398709e-03       1.364390162545e+04 
       4.112887702458e-03       1.395493540870e+04 
       4.234547124471e-03       1.426149553119e+04 
       4.356592898947e-03       1.456347499713e+04 
       4.478997080387e-03       1.486082425737e+04 
       4.601734252622e-03       1.515353748375e+04 
       4.724781269731e-03       1.544164101131e+04 
       4.848117025456e-03       1.572517836389e+04 
       4.971722247963e-03       1.600420950205e+04 
       5.095579317155e-03       1.627878898914e+04 
       5.219672101965e-03       1.654897383315e+04 
       5.343985815356e-03       1.681478030380e+04 
       5.468506885021e-03       1.707624407033e+04 
       5.593222837957e-03       1.733334835312e+04 
       5.718122197344e-03       1.758608873659e+04 
       5.843194390312e-03       1.783444726241e+04 
       5.968429665356e-03       1.807840921135e+04 
       6.093819018308e-03       1.831796382945e+04 
       6.219354125900e-03       1.855311079929e+04 
       6.345027286062e-03       1.878386316514e+04 
       6.470831364216e-03       1.901025719806e+04 
       6.596759744904e-03       1.923234582359e+04 
       6.722806288150e-03       1.945018211020e+04 
       6.848965290071e-03       1.966381721665e+04 
       6.975231447254e-03       1.987333114652e+04 
       7.101599824520e-03       2.007878036868e+04 
       7.228065825700e-03       2.028022100977e+04 
       7.354625167123e-03       2.047767941107e+04 
       7.481273853536e-03       2.067121763625e+04 
       7.608008156190e-03       2.086085746575e+04 
       7.734824592903e-03       2.104662259292e+04 
       7.861719909871e-03       2.122852719194e+04 
       7.988691065083e-03       2.140660901592e+04 
       8.115735213160e-03       2.158087285458e+04 
       8.242849691494e-03       2.175136831184e+04 
       8.370032007558e-03       2.191812792708e+04 
       8.497279827281e-03       2.208118892143e+04 
       8.624590964378e-03       2.224059979508e+04 
       8.751963370559e-03       2.239641711062e+04 
       8.879395126527e-03       2.254868842763e+04 
       9.006884433703e-03       2.269746530346e+04 
       9.134429606599e-03       2.284279936643e+04 
       9.262029065802e-03       2.298473599818e+04 
       9.389681331491e-03       2.312330899187e+04 
       9.517385017465e-03       2.325854765460e+04 
       9.645138825623e-03       2.339049662874e+04 
       9.772941540856e-03       2.351916053270e+04 
       9.900792026335e-03       2.364458950464e+04 
       1.002868921914e-02       2.376679322016e+04 
       1.015663212621e-02       2.388581379370e+04 
       1.028461982061e-02       2.400168153331e+04 
       1.041265143804e-02       2.411444686665e+04 
       1.054072617360e-02       2.422413673337e+04 
       1.066884327883e-02       2.433079443222e+04 
       1.079700205893e-02       2.443446307450e+04 
       1.092520187012e-02       2.453518600442e+04 
       1.105344211731e-02       2.463299903399e+04 
       1.118172225186e-02       2.472794611972e+04 
       1.131004176945e-02       2.482005450803e+04 
       1.143840020824e-02       2.490935865491e+04 
       1.156679714699e-02       2.499587418191e+04 
       1.169523220346e-02       2.507964090716e+04 
       1.182370503282e-02       2.516069675351e+04 
       1.195221532621e-02       2.523904799104e+04 
       1.208076280943e-02       2.531472480701e+04 
       1.220934724164e-02       2.538776742830e+04 
       1.233796841425e-02       2.545821093492e+04 
       1.246662614979e-02       2.552607124490e+04 
       1.259532030097e-02       2.559139734014e+04 
       1.272405074970e-02       2.565422362673e+04 
       1.285281740626e-02       2.571458544742e+04 
       1.298162020846e-02       2.577250889576e+04 
       1.311045912097e-02       2.582802208734e+04 
       1.323933413457e-02       2.588117068242e+04 
       1.336824526554e-02       2.593196513515e+04 
       1.349719255511e-02       2.598044100081e+04 
       1.362617606888e-02       2.602662084350e+04 
       1.375519589637e-02       2.607054099435e+04 
       1.388425215054e-02       2.611219379623e+04 
       1.401334496739e-02       2.615162726248e+04 
       1.414247450562e-02       2.618887914100e+04 
       1.427164094624e-02       2.622395406512e+04 
       1.440084449233e-02       2.625689414014e+04 
       1.453008536872e-02       2.628772592378e+04 
       1.465936382179e-02       2.631646893936e+04 
       1.478868011923e-02       2.634317649785e+04 
       1.480253419385e-02       2.634591239262e+04 
       1.491803454989e-02       2.636785137662e+04 
       1.504742742361e-02       2.639054615098e+04 
       1.517685907110e-02       2.641126140769e+04 
       1.530632984383e-02       2.643003578876e+04 
       1.543584011397e-02       2.644689950626e+04 
       1.556539027431e-02       2.646186124281e+04 
       1.569498073826e-02       2.647497021302e+04 
       1.582461193980e-02       2.648621524136e+04 
       1.595428433354e-02       2.649563696164e+04 
       1.608399839469e-02       2.650326078681e+04 
       1.621375461918e-02       2.650907496321e+04 
       1.634355352367e-02       2.651314825420e+04 
       1.647339564568e-02       2.651548877865e+04 
       1.660328154369e-02       2.651611936148e+04 
       1.673321179724e-02       2.651508933520e+04 
       1.686318700712e-02       2.651240612795e+04 
       1.699320779547e-02       2.650808679785e+04 
       1.712327480604e-02       2.650214912218e+04 
       1.725338870431e-02       2.649464478978e+04 
       1.738355017775e-02       2.648555417405e+04 
       1.751375993603e-02       2.647493154008e+04 
       1.764401871129e-02       2.646278851131e+04 
       1.777432725836e-02       2.644915740301e+04 
       1.790468635509e-02       2.643401368625e+04 
       1.803509680262e-02       2.641738753959e+04 
       1.816555942570e-02       2.639942626694e+04 
       1.829607507301e-02       2.637995776190e+04 
       1.842664461752e-02       2.635914909298e+04 
       1.855726895686e-02       2.633694262838e+04 
       1.868794901367e-02       2.631337856285e+04 
       1.881868573605e-02       2.628852896854e+04 
