# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494403248842e-10       7.315255033960e-15       4.820653086333e-13       2.389559190565e-19       8.899389792898e-09       4.879130463155e-10      -2.513521431524e-12 
    3       1.408259478884e-10       1.238678606583e-14       6.064281769863e-13       4.781423712342e-19       5.433446239752e-09       3.466906190915e-10      -2.211231949892e-12 
    4       1.323537120427e-10       1.446359254175e-14       6.273191378692e-13       7.974081748558e-19       3.759385861789e-09       2.634429285808e-10      -1.764012621707e-12 
    5       1.256439199483e-10       1.337727328773e-14       5.875002817585e-13       1.197038548985e-18       2.796793198591e-09       2.088134218905e-10      -1.309402795537e-12 
    6       1.207006590989e-10       1.032313333094e-14       5.169915207078e-13       1.677371682883e-18       2.178870000288e-09       1.703675347551e-10      -8.948042836483e-13 
    7       1.172270903244e-10       6.842899611356e-15       4.361966093015e-13       2.238787590736e-18       1.753748531043e-09       1.420095862637e-10      -5.443789342620e-13 
    8       1.149030503895e-10       4.044723786445e-15       3.573938701110e-13       2.881695757910e-18       1.446454111665e-09       1.203520417639e-10      -2.689073490246e-13 
    9       1.134840763914e-10       2.339584356567e-15       2.878519852577e-13       3.606522065430e-18       1.215778602442e-09       1.033589464726e-10      -7.004096756775e-14 
   10       1.127554336832e-10       1.575764005637e-15       2.316262907653e-13       4.413695506312e-18       1.037473932852e-09       8.976793547765e-11       5.752365531733e-14 
   11       1.125775014637e-10       1.351009187128e-15       1.904203075778e-13       5.303635213438e-18       8.886918302486e-10       7.950450856626e-11       1.233840823272e-13 
   12       1.128415349086e-10       1.294508586465e-15       1.639366253574e-13       6.276738303722e-18       7.765295416287e-10       7.028204095150e-11       1.421785058745e-13 
   13       1.134275160888e-10       1.207999527302e-15       1.504230054509e-13       7.333369007877e-18       6.844576704335e-10       6.274523773439e-11       1.277247689499e-13 
   14       1.142370434077e-10       1.063277984579e-15       1.473067585832e-13       8.473849500650e-18       6.078517534577e-10       5.620885191807e-11       9.278650488699e-14 
   15       1.152761658313e-10       9.202623338058e-16       1.515764499656e-13       9.698452775201e-18       5.433702632118e-10       5.074694365092e-11       4.960475963059e-14 
   16       1.165060559182e-10       8.404139187475e-16       1.602035910362e-13       1.100739782014e-17       4.885461571304e-10       4.611726794159e-11       7.263366654118e-15 
   17       1.178440258292e-10       8.411673123455e-16       1.706704859379e-13       1.240084726226e-17       4.415160421985e-10       4.212051305116e-11      -2.790444241683e-14 
   18       1.192850634870e-10       8.974129694639e-16       1.812133414602e-13       1.387890753576e-17       4.008506874704e-10       3.859172267291e-11      -5.238554969787e-14 
   19       1.208628761945e-10       9.694285023586e-16       1.906663743735e-13       1.544163153465e-17       3.654378771888e-10       3.544065731095e-11      -6.516278721038e-14 
   20       1.225100567855e-10       1.031080880229e-15       1.984434539030e-13       1.708902360203e-17       3.344024167540e-10       3.267447909881e-11      -6.707331499547e-14 
   21       1.242056226772e-10       1.081578231458e-15       2.046210986828e-13       1.882104661375e-17       3.070460643215e-10       3.022793585240e-11      -6.045168445038e-14 
   22       1.260145077344e-10       1.139337199478e-15       2.095475734936e-13       2.063763082754e-17       2.828062988484e-10       2.802761904896e-11      -4.836116046842e-14 
   23       1.278402510171e-10       1.227162195802e-15       2.137385221279e-13       2.253868409560e-17       2.612250113697e-10       2.601651406311e-11      -3.403736813923e-14 
   24       1.297389778220e-10       1.359530326078e-15       2.177478665359e-13       2.452410298259e-17       2.419266310593e-10       2.417474455613e-11      -2.038766581556e-14 
   25       1.316538515853e-10       1.538417177066e-15       2.220841119059e-13       2.659378429336e-17       2.246002047584e-10       2.254187198015e-11      -9.406082786014e-15 
   26       1.336271819560e-10       1.757203436811e-15       2.271215131487e-13       2.874763649793e-17       2.089862725888e-10       2.109219447659e-11      -2.291811263075e-15 
   27       1.356842565668e-10       2.007607816809e-15       2.328069978808e-13       3.098559054550e-17       1.948669497084e-10       1.977429963506e-11       6.364043934554e-16 
   28       1.376804194489e-10       2.284848427637e-15       2.390769322877e-13       3.330760958444e-17       1.820579167221e-10       1.855756542525e-11      -1.927991076506e-16 
   29       1.397884995075e-10       2.588743463293e-15       2.455951294012e-13       3.571369715066e-17       1.704025951855e-10       1.745353158675e-11      -3.810607595376e-15 
   30       1.418821945012e-10       2.920561262624e-15       2.519560721634e-13       3.820390345038e-17       1.597671446666e-10       1.644876302147e-11      -9.171849088952e-15 
   31       1.439973809910e-10       3.279819107123e-15       2.578440789838e-13       4.077832944269e-17       1.500382711400e-10       1.552033987621e-11      -1.513279535245e-14 
   32       1.462320499843e-10       3.664163670571e-15       2.624599895342e-13       4.343712851882e-17       1.411166826947e-10       1.468631404584e-11      -2.022594480101e-14 
   33       1.483726803285e-10       4.070501578050e-15       2.655035118628e-13       4.618050567608e-17       1.329161497319e-10       1.391789199360e-11      -2.358212457503e-14 
   34       1.506146530469e-10       4.496984301390e-15       2.668285830791e-13       4.900871418917e-17       1.253613500596e-10       1.320123910150e-11      -2.482527053303e-14 
   35       1.528894744187e-10       4.944703740892e-15       2.661115509977e-13       5.192204988771e-17       1.183882554161e-10       1.248565503489e-11      -2.450882336111e-14 
   36       1.551037033807e-10       5.417603362441e-15       2.636606828786e-13       5.492084325002e-17       1.119397735072e-10       1.185462887783e-11      -2.233477500471e-14 
   37       1.574587536516e-10       5.921118532117e-15       2.594710985010e-13       5.800544961724e-17       1.059648719171e-10       1.129629745456e-11      -1.878722606731e-14 
   38       1.597746806216e-10       6.460001124904e-15       2.535666752195e-13       6.117623791320e-17       1.004188185115e-10       1.074780621002e-11      -1.495426856273e-14 
   39       1.621014755063e-10       7.037041780884e-15       2.463698788537e-13       6.443357832172e-17       9.526356196841e-11       1.021742018226e-11      -1.144662217087e-14 
   40       1.645276227212e-10       7.653016367202e-15       2.378021090915e-13       6.777782942139e-17       9.046340755529e-11       9.749589269992e-12      -8.354724418329e-15 
   41       1.668760217199e-10       8.307265687396e-15       2.280891875595e-13       7.120932530534e-17       8.598668057654e-11       9.316897525444e-12      -6.283311070908e-15 
   42       1.693042544570e-10       8.998616808355e-15       2.175219338646e-13       7.472836322048e-17       8.180664797561e-11       8.887547308780e-12      -5.725813036563e-15 
   43       1.718073795736e-10       9.726090283466e-15       2.057214347858e-13       7.833519224506e-17       7.789804159451e-11       8.505153197246e-12      -5.910870586055e-15 
   44       1.742158366435e-10       1.049014398573e-14       1.926431413516e-13       8.203000348682e-17       7.423784076928e-11       8.141700742585e-12      -6.883551097628e-15 
   45       1.767021834381e-10       1.129211904333e-14       1.782929301494e-13       8.581292222778e-17       7.080699276015e-11       7.784286041877e-12      -8.645132074878e-15 
   46       1.792161677040e-10       1.213170522027e-14       1.622992934579e-13       8.968400463773e-17       6.758597359875e-11       7.468587471650e-12      -1.026956609097e-14 
   47       1.817532885338e-10       1.300871012159e-14       1.445225140936e-13       9.364322342387e-17       6.456067635890e-11       7.185147798358e-12      -1.145094919144e-14 
   48       1.843364269839e-10       1.392302326997e-14       1.249098854397e-13       9.769049053919e-17       6.171401780639e-11       6.910211636732e-12      -1.212738949135e-14 
   49       1.869325473364e-10       1.487443076503e-14       1.033817381518e-13       1.018256356055e-16       5.903414413303e-11       6.638746976613e-12      -1.226871752462e-14 
   50       1.895071629547e-10       1.586286917886e-14       7.986029655202e-14       1.060484248073e-16       5.650739913136e-11       6.372386706192e-12      -1.186393193074e-14 
   51       1.921078585439e-10       1.688932555454e-14       5.431909016128e-14       1.103585658106e-16       5.412393917475e-11       6.120393172434e-12      -1.093679159028e-14 
   52       1.947856979864e-10       1.795494038080e-14       2.678664158576e-14       1.147557133581e-16       5.187242650634e-11       5.891275320578e-12      -9.566626911869e-15 
   53       1.974901653256e-10       1.906000891209e-14      -2.546870118669e-15       1.192394929957e-16       4.974464580020e-11       5.678498726669e-12      -8.004830961655e-15 
   54       2.001626235211e-10       2.020446076508e-14      -3.348058836713e-14       1.238094946305e-16       4.773120800478e-11       5.472691938130e-12      -6.548907057812e-15 
   55       2.028579617496e-10       2.138779236420e-14      -6.604464782362e-14       1.284653147089e-16       4.582517591821e-11       5.274421519599e-12      -5.390151931638e-15 
   56       2.056397309259e-10       2.260926504247e-14      -1.002899676960e-13       1.332065366861e-16       4.401865996770e-11       5.086907544003e-12      -4.673073628312e-15 
   57       2.084523992074e-10       2.386795920377e-14      -1.360618565626e-13       1.380327859611e-16       4.230577926583e-11       4.912802414355e-12      -4.421892637088e-15 
   58       2.112292109890e-10       2.516309074647e-14      -1.732008392460e-13       1.429436992191e-16       4.067988604107e-11       4.752848404886e-12      -4.621153377552e-15 
   59       2.140228641822e-10       2.649502250678e-14      -2.118290060785e-13       1.479389852673e-16       3.913594685783e-11       4.600173755207e-12      -5.239264902398e-15 
   60       2.168982624258e-10       2.786444392984e-14      -2.521256012997e-13       1.530183865664e-16       3.766830537796e-11       4.447418703534e-12      -6.198581916845e-15 
   61       2.198120962048e-10       2.927195358599e-14      -2.941296991540e-13       1.581817378099e-16       3.627266447309e-11       4.296995368462e-12      -7.263627518541e-15 
   62       2.227082383655e-10       3.071778482010e-14      -3.378512847317e-13       1.634289245260e-16       3.494422438135e-11       4.153581974151e-12      -8.176332266555e-15 
   63       2.256228433964e-10       3.220060194218e-14      -3.833387580773e-13       1.687599317429e-16       3.367928817675e-11       4.019171632326e-12      -8.844551545169e-15 
   64       2.286029233587e-10       3.371882466165e-14      -4.306393671338e-13       1.741748046792e-16       3.247374950602e-11       3.894204063384e-12      -9.229929303030e-15 
   65       2.316214003035e-10       3.527212237802e-14      -4.797384075512e-13       1.796736799723e-16       3.132445701281e-11       3.775586384631e-12      -9.341927003011e-15 
   66       2.346409008707e-10       3.686019215027e-14      -5.306028015103e-13       1.852567555598e-16       3.022789244375e-11       3.659830451711e-12      -9.212474825738e-15 
   67       2.376787885099e-10       3.848140564177e-14      -5.832029601993e-13       1.909243038147e-16       2.918115537125e-11       3.547136622572e-12      -8.903448340171e-15 
   68       2.407619901357e-10       4.013393799261e-14      -6.375048715754e-13       1.966766486895e-16       2.818111853340e-11       3.438587523911e-12      -8.495762060065e-15 
   69       2.438891352072e-10       4.181708481615e-14      -6.934604211964e-13       2.025141463802e-16       2.722576100522e-11       3.334715909230e-12      -8.096010654988e-15 
   70       2.470499780869e-10       4.353043777472e-14      -7.510133634190e-13       2.084371984905e-16       2.631259481944e-11       3.235876394401e-12      -7.827574602731e-15 
   71       2.502350869495e-10       4.527351220375e-14      -8.101108771857e-13       2.144462356975e-16       2.543864222119e-11       3.142158638546e-12      -7.798223878500e-15 
   72       2.534444933816e-10       4.704550766888e-14      -8.707340167527e-13       2.205416476111e-16       2.460225308715e-11       3.052676242894e-12      -8.005505492472e-15 
   73       2.566805850146e-10       4.884550302415e-14      -9.328729482761e-13       2.267238427573e-16       2.380155233774e-11       2.966133523064e-12      -8.413741946018e-15 
   74       2.599457841234e-10       5.067260927860e-14      -9.965236198442e-13       2.329932364322e-16       2.303426449316e-11       2.881508171979e-12      -8.973399295093e-15 
   75       2.632433490421e-10       5.252623532750e-14      -1.061705708181e-12       2.393501405039e-16       2.229898966110e-11       2.799597699628e-12      -9.594242044266e-15 
