# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09048 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358467e-05       5.246581788317e+01 
       2.333031646010e-05       1.136017175874e+02 
       3.625588232320e-05       1.735960470028e+02 
       4.926151484764e-05       2.331228392166e+02 
       6.238256282075e-05       2.925614024526e+02 
       7.565526530564e-05       3.521934546165e+02 
       8.911707688004e-05       4.122582311909e+02 
       1.028070072771e-04       4.729750162099e+02 
       1.167659797864e-04       5.345546247158e+02 
       1.310372128078e-04       5.972063022250e+02 
       1.456666289553e-04       6.611424920296e+02 
       1.607032960503e-04       7.265824961564e+02 
       1.761999041637e-04       7.937555920810e+02 
       1.922132824973e-04       8.629038361505e+02 
       2.088049592357e-04       9.342847673875e+02 
       2.260417664229e-04       1.008174029212e+03 
       2.439964902511e-04       1.084868026500e+03 
       2.627485646754e-04       1.164686569496e+03 
       2.823848027141e-04       1.247975528248e+03 
       3.030001548313e-04       1.335109443042e+03 
       3.246984770450e-04       1.426493999258e+03 
       3.475932824591e-04       1.522568254296e+03 
       3.718084384036e-04       1.623806443274e+03 
       3.974787570274e-04       1.730719146181e+03 
       4.247504100463e-04       1.843853473132e+03 
       4.537810789406e-04       1.963791963627e+03 
       4.847397315698e-04       2.091149692407e+03 
       5.178058974888e-04       2.226569143761e+03 
       5.531683013141e-04       2.370712285927e+03 
       5.910227121742e-04       2.524249389577e+03 
       6.315688849671e-04       2.687844194249e+03 
       6.750065137933e-04       2.862135299057e+03 
       7.215301959484e-04       3.047714001484e+03 
       7.713235180317e-04       3.245099240366e+03 
       8.245525173385e-04       3.454711022598e+03 
       8.813589235905e-04       3.676844086146e+03 
       9.418537183416e-04       3.911644185466e+03 
       1.006111625270e-03       4.159089540959e+03 
       1.074167130434e-03       4.418979828593e+03 
       1.146012510279e-03       4.690934302669e+03 
       1.221598126731e-03       4.974399929999e+03 
       1.300834972314e-03       5.268669079345e+03 
       1.383599172316e-03       5.572904630344e+03 
       1.469737934887e-03       5.886170452334e+03 
       1.559076324047e-03       6.207463965463e+03 
       1.651424225690e-03       6.535747552160e+03 
       1.746582964849e-03       6.869977553261e+03 
       1.844351177732e-03       7.209128512128e+03 
       1.944529704913e-03       7.552212770140e+03 
       2.046925420610e-03       7.898294760710e+03 
       2.151354028436e-03       8.246501363262e+03 
       2.257641930165e-03       8.596027012175e+03 
       2.365627314066e-03       8.946136716432e+03 
       2.475160621216e-03       9.296165184704e+03 
       2.586104540918e-03       9.645514808873e+03 
       2.698333668342e-03       9.993652958264e+03 
       2.811733934817e-03       1.034010487289e+04 
       2.926201898139e-03       1.068445949054e+04 
       3.041643959176e-03       1.102634313572e+04 
       3.157975553061e-03       1.136543904487e+04 
       3.275120348714e-03       1.170146799701e+04 
       3.393009479101e-03       1.203418797090e+04 
       3.511580816091e-03       1.236339034213e+04 
       3.630778297544e-03       1.268889491903e+04 
       3.750551309875e-03       1.301054811104e+04 
       3.870854126324e-03       1.332822055198e+04 
       3.991645399162e-03       1.364180038755e+04 
       4.112887702912e-03       1.395119446550e+04 
       4.234547124926e-03       1.425632816955e+04 
       4.356592899404e-03       1.455713596381e+04 
       4.478997080846e-03       1.485356936653e+04 
       4.601734253081e-03       1.514559171777e+04 
       4.724781270192e-03       1.543316636897e+04 
       4.848117025917e-03       1.571624385813e+04 
       4.971722248425e-03       1.599488550637e+04 
       5.095579317619e-03       1.626902540683e+04 
       5.219672102429e-03       1.653867927772e+04 
       5.343985815821e-03       1.680392902119e+04 
       5.468506885487e-03       1.706470851642e+04 
       5.593222838424e-03       1.732104341484e+04 
       5.718122197811e-03       1.757294591660e+04 
       5.843194390780e-03       1.781993141808e+04 
       5.968429665824e-03       1.806301935464e+04 
       6.093819018777e-03       1.830173515530e+04 
       6.219354126370e-03       1.853611340650e+04 
       6.345027286532e-03       1.876618381891e+04 
       6.470831364687e-03       1.899194303303e+04 
       6.596759745375e-03       1.921346389173e+04 
